16 Feb 2023 | 00:55:23,879 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 00:55:23,880 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 00:55:23,880 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 00:55:23,880 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 00:55:23,880 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 01:55:23,879 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 01:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 01:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 01:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 01:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 02:55:23,879 | INFO  | pool-1-thread-1 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 02:55:23,880 | INFO  | pool-1-thread-1 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 02:55:23,880 | INFO  | pool-1-thread-1 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 02:55:23,880 | INFO  | pool-1-thread-1 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 02:55:23,880 | INFO  | pool-1-thread-1 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 03:55:23,879 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 03:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 03:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 03:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 03:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 04:55:23,879 | INFO  | pool-1-thread-3 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 04:55:23,880 | INFO  | pool-1-thread-3 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 04:55:23,880 | INFO  | pool-1-thread-3 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 04:55:23,880 | INFO  | pool-1-thread-3 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 04:55:23,880 | INFO  | pool-1-thread-3 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 05:55:23,879 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 05:55:23,879 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 05:55:23,879 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/0
16 Feb 2023 | 05:55:23,879 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 05:55:23,880 | INFO  | pool-1-thread-2 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/0
16 Feb 2023 | 05:59:16,878 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 105, Type: DEFAULT, Logged: No, IP: 203.200.25.244:51430 } on Server port: 9933 <---> 51430
16 Feb 2023 | 05:59:17,421 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#98, Id: 98, Priv: 0, Sess: 203.200.25.244:51430 ) , Type: Unity / .Net
16 Feb 2023 | 05:59:24,922 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 105, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:51430 }
16 Feb 2023 | 05:59:24,923 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#98, Id: 98, Priv: 0, Sess: 203.200.25.244:51430 ) , SessionLen: 7502, Type: Unity / .Net
16 Feb 2023 | 05:59:24,923 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 05:59:28,138 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 106, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58528 } on Server port: 9933 <---> 58528
16 Feb 2023 | 05:59:28,742 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#99, Id: 99, Priv: 0, Sess: 203.200.25.244:58528 ) , Type: Unity / .Net
16 Feb 2023 | 06:00:29,425 | INFO  | http-nio-8080-exec-4 | Extensions |     | {BackendExtension}: Himanshu -- inside handleInternalMessage 
16 Feb 2023 | 06:00:37,006 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 106, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58528 }
